Id,Year,Cumulative
1,2/1950,2000000
2,3/1950,4000000
3,4/1950,6000000
4,5/1950,9000000
5,6/1950,12000000
6,7/1950,16000000
7,8/1950,21000000
8,9/1950,26000000
9,10/1950,32000000
10,11/1950,39000000
11,12/1950,47000000
12,1/1951,56000000
13,2/1951,67000000
14,3/1951,80000000
15,4/1951,95000000
16,5/1951,112000000
17,6/1951,132000000
18,7/1951,155000000
19,8/1951,182000000
20,9/1951,214000000
21,10/1951,249000000
22,11/1951,287000000
23,12/1951,331000000
24,1/1952,382000000
25,2/1952,434000000
26,3/1952,480000000
27,4/1952,534000000
28,5/1952,593000000
29,6/1952,657000000
30,7/1952,728000000
31,8/1952,798000000
32,9/1952,870000000
33,10/1952,943000000
34,11/1952,1023000000
35,12/1952,1109000000
36,1/1953,1199000000
37,2/1953,1295000000
38,3/1953,1399000000
39,4/1953,1509000000
40,5/1953,1623000000
41,6/1953,1743000000
42,7/1953,1867000000
43,8/1953,1999000000
44,9/1953,2136000000
45,10/1953,2287000000
46,11/1953,2443000000
47,12/1953,2611000000
48,1/1954,2791000000
49,2/1954,2979000000
50,3/1954,3181000000
51,4/1954,3394000000
52,5/1954,3612000000
53,6/1954,3843000000
54,7/1954,4084000000
55,8/1954,4340000000
56,9/1954,4603000000
57,10/1954,4883000000
58,11/1954,5178000000
59,12/1954,5459000000
60,1/1955,5747000000
61,2/1955,6060000000
62,3/1955,6385000000
63,4/1955,6723000000
64,5/1955,7075000000
65,6/1955,7442000000
66,7/1955,7823000000
67,8/1955,
68,9/1955,
69,10/1955,
70,11/1955,
71,12/1955,
72,1/1956,
73,2/1956,
74,3/1956,
75,4/1956,
76,5/1956,
77,6/1956,
78,7/1956,
79,8/1956,
80,9/1956,
81,10/1956,
82,11/1956,
83,12/1956,
84,1/1957,
85,2/1957,
86,3/1957,
87,4/1957,
88,5/1957,
89,6/1957,
90,7/1957,
91,8/1957,
92,9/1957,
93,10/1957,
94,11/1957,
95,12/1957,
96,1/1958,
97,2/1958,
98,3/1958,
99,4/1958,
100,5/1958,
101,6/1958,
102,7/1958,
103,8/1958,
104,9/1958,
105,10/1958,
106,11/1958,
107,12/1958,
108,1/1959,
109,2/1959,
110,3/1959,
111,4/1959,
112,5/1959,
113,6/1959,
114,7/1959,
115,8/1959,
116,9/1959,
117,10/1959,
118,11/1959,
119,12/1959,
120,1/1960,
121,2/1960,
122,3/1960,
123,4/1960,
124,5/1960,
125,6/1960,
126,7/1960,
127,8/1960,
128,9/1960,
129,10/1960,
130,11/1960,
131,12/1960,
132,1/1961,
133,2/1961,
134,3/1961,
135,4/1961,
136,5/1961,
137,6/1961,
138,7/1961,
139,8/1961,
140,9/1961,
141,10/1961,
142,11/1961,
143,12/1961,
144,1/1962,
145,2/1962,
146,3/1962,
147,4/1962,
148,5/1962,
149,6/1962,
150,7/1962,
151,8/1962,
152,9/1962,
153,10/1962,
154,11/1962,
155,12/1962,
156,1/1963,
157,2/1963,
158,3/1963,
159,4/1963,
160,5/1963,
161,6/1963,
162,7/1963,
163,8/1963,
164,9/1963,
165,10/1963,
166,11/1963,
167,12/1963,
168,1/1964,
169,2/1964,
170,3/1964,
171,4/1964,
172,5/1964,
173,6/1964,
174,7/1964,
175,8/1964,
176,9/1964,
177,10/1964,
178,11/1964,
179,12/1964,
180,1/1965,
181,2/1965,
182,3/1965,
183,4/1965,
184,5/1965,
185,6/1965,
186,7/1965,
187,8/1965,
188,9/1965,
189,10/1965,
190,11/1965,
201,12/1965,
192,1/1966,
193,2/1966,
194,3/1966,
195,4/1966,
196,5/1966,
197,6/1966,
198,7/1966,
199,8/1966,
200,9/1966,
201,10/1966,
202,11/1966,
203,12/1966,
204,1/1967,
205,2/1967,
206,3/1967,
207,4/1967,
208,5/1967,
209,6/1967,
210,7/1967,
211,8/1967,
212,9/1967,
213,10/1967,
214,11/1967,
215,12/1967,
216,1/1968,
217,2/1968,
218,3/1968,
219,4/1968,
220,5/1968,
221,6/1968,
222,7/1968,
223,8/1968,
224,9/1968,
225,10/1968,
226,11/1968,
227,12/1968,
228,1/1969,
229,2/1969,
230,3/1969,
231,4/1969,
232,5/1969,
233,6/1969,
234,7/1969,
235,8/1969,
236,9/1969,
237,10/1969,
238,11/1969,
239,12/1969,
240,1/1970,
241,2/1970,
242,3/1970,
243,4/1970,
244,5/1970,
245,6/1970,
246,7/1970,
247,8/1970,
248,9/1970,
249,10/1970,
250,11/1970,
251,12/1970,
252,1/1971,
253,2/1971,
254,3/1971,
255,4/1971,
256,5/1971,
257,6/1971,
258,7/1971,
259,8/1971,
260,9/1971,
261,10/1971,
262,11/1971,
263,12/1971,
264,1/1972,
265,2/1972,
266,3/1972,
267,4/1972,
268,5/1972,
269,6/1972,
270,7/1972,
271,8/1972,
272,9/1972,
273,10/1972,
274,11/1972,
275,12/1972,
276,1/1973,
277,2/1973,
278,3/1973,
279,4/1973,
280,5/1973,
281,6/1973,
282,7/1973,
283,8/1973,
284,9/1973,
285,10/1973,
286,11/1973,
287,12/1973,
288,1/1974,
289,2/1974,
290,3/1974,
291,4/1974,
292,5/1974,
293,6/1974,
294,7/1974,
295,8/1974,
296,9/1974,
297,10/1974,
298,11/1974,
299,12/1974,
300,1/1975,
301,2/1975,
302,3/1975,
303,4/1975,
304,5/1975,
305,6/1975,
306,7/1975,
307,8/1975,
308,9/1975,
309,10/1975,
310,11/1975,
311,12/1975,
312,1/1976,
313,2/1976,
314,3/1976,
315,4/1976,
316,5/1976,
317,6/1976,
318,7/1976,
319,8/1976,
320,9/1976,
321,10/1976,
322,11/1976,
323,12/1976,
324,1/1977,
325,2/1977,
326,3/1977,
327,4/1977,
328,5/1977,
329,6/1977,
330,7/1977,
331,8/1977,
332,9/1977,
333,10/1977,
334,11/1977,
335,12/1977,
336,1/1978,
337,2/1978,
338,3/1978,
339,4/1978,
340,5/1978,
341,6/1978,
342,7/1978,
343,8/1978,
344,9/1978,
345,10/1978,
346,11/1978,
347,12/1978,
348,1/1979,
349,2/1979,
350,3/1979,
351,4/1979,
352,5/1979,
353,6/1979,
354,7/1979,
355,8/1979,
356,9/1979,
357,10/1979,
358,11/1979,
359,12/1979,
360,1/1980,
361,2/1980,
362,3/1980,
363,4/1980,
364,5/1980,
365,6/1980,
366,7/1980,
367,8/1980,
368,9/1980,
369,10/1980,
370,11/1980,
371,12/1980,
372,1/1981,
373,2/1981,
374,3/1981,
375,4/1981,
376,5/1981,
377,6/1981,
378,7/1981,
379,8/1981,
380,9/1981,
381,10/1981,
382,11/1981,
383,12/1981,
384,1/1982,
385,2/1982,
386,3/1982,
387,4/1982,
388,5/1982,
389,6/1982,
390,7/1982,
391,8/1982,
392,9/1982,
393,10/1982,
394,11/1982,
395,12/1982,
396,1/1983,
397,2/1983,
398,3/1983,
399,4/1983,
400,5/1983,
401,6/1983,
402,7/1983,
403,8/1983,
404,9/1983,
405,10/1983,
406,11/1983,
407,12/1983,
408,1/1984,
409,2/1984,
410,3/1984,
411,4/1984,
