Country,Total municipal plastic waste 2015,Total municipal plastic waste 2020,Total municipal plastic waste 2040,Total municipal plastic waste 2060,MPW 2015,MPW Scenario A 2020,MPW Scenario A 2040,MPW Scenario A 2060,MPW Scenario B 2020,MPW Scenario B 2040,MPW Scenario B 2060,MPW Scenario C 2020,MPW Scenario C 2040,MPW Scenario C 2060
Afghanistan,437000000,524000000,928000000,1300000000,427704488.228992,512853894.352384,908260331.982848,1272347447.8208,506040998.601632,825410587.131682,1026703889.89103,459308906.781049,374494255.619326,466048154.447525
Albania,81400000,92300000,117000000,126000000,81400000,92300000,117000000,126000000,80877155.3302544,44012424.0926105,2520000,60545080.0319222,16213765.8855536,476719.696969697
Algeria,1050000000,1220000000,1940000000,2650000000,840000000,976000000,1552000000,2120000000,882446474.6256,376818803.644258,53000000,724854339.579733,150621094.681618,11061041.6666667
Angola,208000000,255000000,785000000,1710000000,187200000,229500000,706500000,1539000000,226584695.88828,522700279.023799,624783255.676719,166328156.525569,191039769.038352,225402910.645302
Antigua and Barbuda,4510000,4900000,6530000,7660000,1294985.25824096,1406968.4623904,1875000.82845088,2199464.98406336,734322.854574399,130600,153200,660757.10253794,29945,35120.5504587156
Argentina,1900000000,2080000000,3060000000,3990000000,632700000,692640000,1018980000,1328670000,510776471.92832,61200000,79800000,345791335.42196,10495958.9041096,13647465.7534247
Armenia,20200000,26600000,43200000,52200000,404000,532000,864000,1044000,532000,864000,1044000,266426,220586.224489796,266110.714285714
Australia,533000000,592000000,792000000,984000000,10660000,11840000,15840000,19680000,11840000,15840000,19680000,5917160,7915630,9839890
Austria,515000000,540000000,610000000,653000000,10300000,10800000,12200000,13060000,10800000,12200000,13060000,4906009.09090909,2770972.72727273,2969354.54545455
Azerbaijan,114000000,133000000,230000000,302000000,25080000,29260000,50600000,66440000,19116264.236384,4600000,6040000,17257470.9686785,1053793.57798165,1386798.16513761
Bahamas,12800000,14100000,20500000,25900000,3447932.6948352,3798113.3591544,5522079.706572,6976676.3122056,2481892.9349448,410000,518000,2242836.48917867,93817.8899082569,118631.19266055
Bahrain,124000000,135000000,178000000,203000000,2480000,2700000,3560000,4060000,2700000,3560000,4060000,1126941.66666667,740862.5,843800
Bangladesh,1080000000,1370000000,2210000000,2810000000,1080000000,1370000000,2210000000,2810000000,1297214481.39784,1698855948.98033,1515764112.05719,1286053404.20411,1267654397.25719,1126003549.19584
Barbados,12500000,13400000,17000000,19400000,2250000,2412000,3060000,3492000,965819.8803248,340000,388000,582866.589829559,52525.9259259259,59804.3209876543
Belarus,353000000,359000000,397000000,420000000,173777829.33108,176731560.14124,195438521.93892,206761156.7112,151699589.919072,7940000,8400000,137631475.118319,1822944.95412844,1927087.1559633
Belgium,227000000,244000000,292000000,336000000,4540000,4880000,5840000,6720000,4880000,5840000,6720000,2437630,2923030,3359800
Belize,6160000,6870000,10600000,13900000,6160000,6870000,10600000,13900000,6806200.7513232,7818878.65022445,5421117.00178883,6737157.50164882,7683409.6327401,5272160.78125309
Benin,136000000,165000000,310000000,490000000,136000000,165000000,310000000,490000000,161980220.19696,277376616.717239,382605517.191561,160316616.420701,187967958.779282,258657532.086809
Bhutan,10100000,13600000,21600000,27600000,5252000,7072000,11232000,14352000,5157648.6572416,432000,552000,3900189.63350525,83059.2307692308,106148.076923077
Bolivia (Plurinational State of),161000000,191000000,332000000,478000000,46529000,55199000,95948000,138142000,46023235.411464,6640000,9560000,45438391.8414808,1661555,2390190
Bosnia and Herzegovina,109000000,118000000,131000000,128000000,67580000,73160000,81220000,79360000,60269727.595536,6502959.06415382,2560000,54499004.1543526,2603485.40685889,588412.844036697
Botswana,67800000,78900000,123000000,163000000,27120000,31560000,49200000,65200000,20325535.1672088,2460000,3260000,18351200.6315575,562256.880733945,746779.816513761
Brazil,8850000000,9420000000,11600000000,12900000000,3718770000,3958284000,4874320000,5420580000,3523805334.7248,864151437.533951,258000000,2579834284.05703,302229553.226704,47941111.1111111
Brunei Darussalam,12100000,16100000,30800000,42100000,242000,322000,616000,842000,322000,616000,842000,100831.875,96344.375,131477.1875
Bulgaria,312000000,322000000,323000000,306000000,53352000,55062000,55233000,52326000,6440000,6460000,6120000,2898594.59459459,1456833.33333333,1376977.47747748
Burkina Faso,328000000,405000000,822000000,1410000000,322733567.050752,398497239.80352,808801805.230848,1387360760.79744,392280396.88032,737667061.732499,1133520890.9451,355918561.236689,334484444.418004,512783739.862929
Burundi,229000000,276000000,544000000,952000000,229000000,276000000,544000000,952000000,275010316.276608,525901815.445303,882804010.34949,249747403.218058,238821631.597054,400681147.873613
Cabo Verde,4420000,5390000,9330000,13000000,3663688.4866296,4467710.6205732,7733532.4842204,10775554.37244,4165621.03149192,4751397.43328626,2098435.83795081,3778641.35256761,2143499.87113662,910950.475077793
Cambodia,283000000,344000000,549000000,739000000,261222913.359928,317528912.352704,506753990.934984,682133332.060024,301460937.037312,390629182.839714,368087688.588324,273990673.283726,176995222.541712,165807089.144255
