code,country,total_population,coastal_population,plastic_waste_per_capita,plastic_waste_total,inadequately_managed_plastic,fish_consumption,gdp
ALB,albania,2927519,3041660,0.069,73364,45,5.73,11926953259
DZA,algeria,35401790,24148000,0.144,1898343,58,3.81,1.61207E+11
AGO,angola,20520103,4765740,0.062,528843,71,16.19,82470913121
ATG,antigua-and-barbuda,86300,85080,0.66,22804,6,55.2,1152469074
ARG,argentina,40798641,17288300,0.183,2753550,12,5.85,4.23627E+11
AUS,australia,21691700,18173400,0.112,900658,0,26.67,1.14288E+12
BGD,bangladesh,149905836,89137000,0.034,1888170,87,19.34,1.15279E+11
BRB,barbados,278466,293949,0.57,58164,4,39.31,4461650000
BEL,belgium,10796493,8722320,0.08,318151,0,25.22,4.83548E+11
BLZ,belize,313925,287069,0.172,20191,29,15.36,1397113450
BEN,benin,9240982,5076140,0.043,144382,83,13.39,6970240895
BMU,bermuda,65636,65013,0.252,5990,0,45,5744414000
BIH,bosnia-and-herzegovina,3837732,1118270,0.144,195633,40,5.37,17176781337
BRA,brazil,196701298,96294300,0.165,11852055,9,8.99,2.20887E+12
BRN,brunei-darussalam,387080,389881,0.026,3688,1,35.88,13707370737
BGR,bulgaria,7444443,2053430,0.154,415707,31,6.48,50610031136
KHM,cambodia,14144337,2969600,0.066,344698,87,36.08,11242275199
CMR,cameroon,20074522,3647280,0.046,335305,81,14.47,26143818510
CAN,canada,33628571,7731200,0.093,1154309,0,22.1,1.61346E+12
CHL,chile,16829957,14765800,0.119,738106,7,13.44,2.18538E+11
CHN,china,1331260000,334250000,0.121,59079741,74,32.32,6.10062E+12
COL,colombia,45416276,13841900,0.144,2413455,21,5.55,2.87018E+11
CRI,costa-rica,4488261,4464740,0.258,428029,16,10.96,37268635287
CIV,cote-d'ivoire,19684909,7708930,0.103,766988,82,18.08,24884505035
HRV,croatia,4429078,1663180,0.252,406347,9,17.86,59665427465
CUB,cuba,11297442,11280300,0.089,368154,23,5.75,64328000000
CYP,cyprus,1090486,854086,0.248,100713,0,22.22,25562251656
DNK,denmark,5523095,5439080,0.047,95171,0,23.02,3.21995E+11
DJI,djibouti,820097,831150,0.103,31999,73,2.61,1128611700
DMA,dominica,70995,67499,0.149,3885,19,23.79,493824407.4
DOM,dominican-republic,9767737,9757320,0.144,520238,25,10.38,53954579004
ECU,ecuador,14691310,7670470,0.147,801321,30,8.02,69555367000
SLV,el-salvador,6021368,6854560,0.147,330763,33,7.06,21418330000
EST,estonia,1334515,1105370,0.176,85534,9,14.56,19490936349
FJI,fiji,851854,824288,0.189,59324,78,33.66,3140508836
FIN,finland,5338871,3839480,0.234,458084,0,36.01,2.478E+11
FRA,france,64707044,24473800,0.192,4557128,0,34.78,2.64684E+12
GAB,gabon,1507428,812730,0.054,32329,34,30.68,14358585196
GEO,georgia,3978000,1886920,0.068,97443,51,10.29,11638536834
DEU,germany,81902307,11773400,0.485,14476561,0,14.16,3.41709E+12
GHA,ghana,23713164,10747800,0.04,357877,81,24.19,32174772956
GRC,greece,11107017,11042600,0.2,811858,0,18.82,2.99362E+11
GRD,grenada,104298,105679,0.325,12417,18,31.1,771015888.9
GTM,guatemala,14418033,9263690,0.28,1495229,36,1.41,41338595381
GIN,guinea,10715770,3014200,0.03,118196,84,9.81,6861546076
GNB,guinea-bissau,1596832,1585500,0.054,30666,83,1.13,850633309.8
GUY,guyana,750749,699553,0.586,159681,36,30.28,2273225042
HTI,haiti,9852953,9597600,0.09,328487,47,3.87,6622541529
HND,honduras,7383098,5406960,0.189,565317,40,3.01,15839344592
ISL,iceland,318499,300536,0.281,32620,0,90.48,13254818331
IND,india,1214182182,285689000,0.01,4493080,85,5.72,1.65662E+12
IDN,indonesia,238465165,222927000,0.057,5045714,81,27.22,7.55094E+11
IRQ,iraq,29970634,1706560,0.103,1156524,63,2.67,1.38517E+11
IRL,ireland,4535375,4301410,0.43,715716,0,22.77,2.21951E+11
ISR,israel,7485600,6916030,0.297,826436,1,21.86,2.3361E+11
ITA,italy,59095365,45732100,0.134,2899258,0,25.59,2.12506E+12
JAM,jamaica,2681386,2714590,0.034,34962,27,24.22,13191645686
JPN,japan,128047000,126695000,0.171,7993489,0,52.6,5.7001E+12
JOR,jordan,6266865,1912310,0.144,377506,58,6.72,26425379437
KEN,kenya,39269988,2920190,0.027,407506,83,3.42,39999659234
KIR,kiribati,100566,61624,0.103,3859,84,73.88,153275912.7
KWT,kuwait,2881243,2850590,0.686,750690,0,19.8,1.15419E+11
LVA,latvia,2141669,1754970,0.124,94935,14,27.91,23757368290
