Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 World,World,Export,Plastic or Rubber,Export (US$ Thousand),32144078.479,47355097.776,53376436.654,72334124.23,95392158.106,106421880.922,151744041.819,206879489.762,207676473.383,221938347.036,223497149.1,226631941.666,273949508.816,266892452.185,286562780.682,340591177.758,419832446.683,481681286.517,551902882.774,640178261.696999,694128986.644,562714412.701,715141884.55967,870090231.742625,852377282.143286,880298925.068492,881764267.906045,778442456.657493,766113477.880728,769311499.020535
 World,Afghanistan,Export,Plastic or Rubber,Export (US$ Thousand),46772.738,72469.68,92943.385,41342.934,76106.942,84637.21,49260.999,53042.957,88120.936,65419.142,36149.134,57388.716,61289.824,47924.594,90233.79,98229.934,122059.454,251541.404,200922.858,146854.325,186330.112,288931.714,355352.294144681,393883.929088781,299370.842169086,298173.64444252,229148.200680934,170512.05674172,176504.641969375,139306.971318412
 World,Albania,Export,Plastic or Rubber,Export (US$ Thousand),1073.905,6110.295,2392.268,10861.55,3415.053,11518.588,24436.48,34818.179,44792.258,29509.3,29015.941,33386.899,63867.429,75130.402,85197.346,113417.251,132891.688,147885.05,156186.129,199891.051,294689.901,278255.673,252873.164227224,314202.91354656,297580.94772734,313906.698278447,328148.890995581,308799.031978187,342871.782116864,376546.95954321
 World,Algeria,Export,Plastic or Rubber,Export (US$ Thousand),95005.323,136519.483,129816.502,122036.72,164363.39,159919.443,261843.456,299945.376,229099.071,241465.686,298657.209,303715.638,502005.619,589730.724,692685.548,817876.129,1086154.904,1060078.727,1231779.668,1589503.22,2115368.955,2054195.409,2270350.19927075,2797993.57118314,2939699.43536094,3400661.98717898,3572248.9119423,3363129.1337184,3367065.29601505,2634479.02693972
 World,American Samoa,Export,Plastic or Rubber,Export (US$ Thousand),,,,,,,,,,,,,2103.618,1106.449,1979.098,2369.424,2663.448,2292.104,1833.383,2597.397,3041.206,1991.336,2516.9495223952,2002.09277981576,1357.443,1462.5522966805,1552.29270234282,2065.99506007552,1536.24468839216,1805.74953028196
 World,Andorra,Export,Plastic or Rubber,Export (US$ Thousand),1640.991,10956.567,15212.283,16557.888,15771.666,14071.768,20162.634,26236.84,26341.138,26675.649,23846.754,21612.057,47007.067,40943.118,42417.724,54610.657,62204.723,62876.707,63343.282,74607.42,78476.256,68166.95,75916.8641461616,74075.578202195,66977.85628557,64327.8247578824,65669.0634171119,58467.3312983159,57210.6793641359,62820.9956282499
 World,Angola,Export,Plastic or Rubber,Export (US$ Thousand),31234.439,28797.083,30573.694,25724.692,43756.746,17316.973,18236.129,35497.965,30800.858,42510.941,47082.452,38563.663,81997.291,128783.785,141354.535,149728.173,197443.738,248548.467,379994.062,532645.786,760353.648999999,673234.635,621446.51047559,960539.068403396,1256031.16098272,1207570.91371514,1436897.9355423,869380.765647739,597489.238646989,783623.157618386
 World,Anguila,Export,Plastic or Rubber,Export (US$ Thousand),3,143.38,323.83,670.111,1579.989,370.606,1405.684,1107.562,649.1,689.305,911.241,836.371,996.565,969.339,483.776,896.013,2243.228,1563.478,3793.904,20158.121,5096.009,4932.25,1800.9770869824,1659.23834276428,1900.809,2260.80452502956,2330.42836430114,1970.05569598912,1726.56220788034,1588.38826676
 World,Antarctica,Export,Plastic or Rubber,Export (US$ Thousand),,,,,,,,,,,,,398.956,56.261,21.385,59.285,756.809,409.126,135.815,388.7,8268.875,1709.429,7742.58051875556,562.84199439839,778.69772963816,745.15053106098,543.15608799933,644.82803028863,424.28179683136,597.573468369767
 World,Antigua and Barbuda,Export,Plastic or Rubber,Export (US$ Thousand),111.879,709.174,206.122,3643.493,2635.52,3215.459,3385.443,4998.983,4981.399,5390.08,6212.944,5561.667,12033.666,8457.734,6967.889,8585.029,8836.737,11931.589,15495.572,18036.315,16475.896,22822.211,84597.2454950784,27687.1001433137,18911.4149781526,11234.4394198285,12549.6200465048,11936.9174969365,13061.1831824473,13523.5787620155
