Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 World,World,Import,Plastic or Rubber,Import (US$ Thousand),26335953.856,42912916.247,51648235.189,68112805.34,95256364.474,108375068.935,157057191.864,209380388.338,213257450.91,224364696.542,226989189.226,232504059.037,252355850.145,247645494.752,268936833.283,318004095.512,387591301.784,442588257.259,508040881.467,585672223.704,643056962.371,515624187.286,662131877.522828,795101406.927868,768597767.503599,793409454.624979,807735751.647597,719585758.834712,704145964.71046,737325040.511455
 World,Afghanistan,Import,Plastic or Rubber,Import (US$ Thousand),,,82.718,130.701,274.057,97.595,189.292,425.454,688.165,983.321,1664.539,741.106,1178.433,275.743,742.556,600.054,999.303,1249.141,1013.052,629.69,26125.362,132878.709,8787.15198993768,583.65711061292,533.90539148064,2393.87479231626,1824.7951845193,2382.91184724316,2145.139466223,1900.27853768106
 World,Albania,Import,Plastic or Rubber,Import (US$ Thousand),27,124.213,217.511,144.578,182.713,1576.053,7328.517,3350.073,2175.243,1424.091,1605.792,1368.246,1754.258,1824.628,2241.662,2589.501,3313.455,3693.082,6626.149,9000.586,37857.257,242018.055,10425.1242704316,13859.1036201226,11883.4669815438,14258.9497603011,18185.6150612339,13436.8468279152,14798.7256287452,21365.5555591457
 World,Algeria,Import,Plastic or Rubber,Import (US$ Thousand),10,59.146,20.082,167.884,370.484,841.386,455.208,715.186,4171.529,3889.062,1113.471,605.428,1025.424,1464.471,1157.609,3601.284,5639.972,23452.681,55037.639,49622.643,45640.21,85334.821,27780.8988819524,22273.8646484626,17770.363,13087.598,7488.17104193946,4812.973,6398.16782401596,4278.72177848442
 World,American Samoa,Import,Plastic or Rubber,Import (US$ Thousand),,,,,,,,,,,,,151.912,204.938,241.792,722.614,1498.921,372.666,492.878,777.534,1462.839,1960.704,8205.525413214,1276.851,1682.72405283,1185.57350215545,5388.534,1390.391068855,513.27117739115,3723.41100892443
 World,Andorra,Import,Plastic or Rubber,Import (US$ Thousand),13.492,104.737,174.258,449.992,367.212,299.663,797.887,946.984,1344.696,1829.759,1781.136,1559.938,1614.076,1270.639,1420.176,1461.946,3626.437,2124.857,2084.166,2338.54,2554.514,1986.795,3853.10104423,3789.51682269,2757.21768844768,1171.1887504,1199.27887231926,1384.67428612847,1100.58101701883,3381.71496625986
 World,Angola,Import,Plastic or Rubber,Import (US$ Thousand),,,22.413,15.753,7.061,22.467,54.883,26.66,287.517,267.835,46.401,257.098,141.135,89.005,806.808,671.916,358.95,1085.387,387.419,9410.165,607.128,6588.194,8246.38704959412,5266.72122771102,1966.3831481632,552.52983779132,2264.79372728092,1614.91275271312,2058.2331536036,2213.24579949113
 World,Anguila,Import,Plastic or Rubber,Import (US$ Thousand),,,,,36.304,,14.62,26.687,339.495,257.407,456.737,104.89,604.365,241.8,137.93,206.496,117.723,104.783,329.025,361.506,1219.626,2449.961,988.36,244.5451,166.657,165.701,185.0312331461,152.67781,228.7094844461,375.903321176416
 World,Antarctica,Import,Plastic or Rubber,Import (US$ Thousand),,,,,,,,,,,,,25.748,52.287,0.191,9.058,20.786,0.885,70.148,6.635,30.795,69.861,2296.604,107.60217992714,1399.17893179712,15.669,141.27622516,12.420040742,63.51441,129.38473014728
 World,Antigua and Barbuda,Import,Plastic or Rubber,Import (US$ Thousand),,2.952,9.196,16.665,125.683,52.812,102.248,629.243,282.243,469.363,945.009,680.129,620.497,3460.034,11598.414,12310.085,11805.637,262.915,582.843,509.846,5314.849,63179.306,91356.2796568148,33520.0351160909,30252.4611418427,344.51339641706,223.81950555746,339.43182036033,261.46647642786,295.282196821174
