Country,Country code,Continent,Region,2015 lower Per Capita MSW (kg.y-1),2015 median Per Capita MSW (kg.y-1),2015 higher Per Capita MSW (kg.y-1),2015 lower Mismanaged MSW fraction (%),2015 median Mismanaged MSW fraction (%),2015 higher Mismanaged MSW fraction (%),2015 lower MSW Plastic Ratio (%),2015 median MSW Plastic Ratio (%),2015 higher MSW Plastic Ratio (%),2015 Population (x1000 ppl),2020 Population (x1000 ppl),2040 Population (x1000 ppl),2060 Population (x1000 ppl),2015 Per Capita GDP (2016 USD),2020 Per Capita GDP (2016 USD),2040 Per Capita GDP (2016 USD),2060 Per Capita GDP (2016 USD)
Australia,36,Oceania,Australia/New Zealand,640,640,640,0.1,1,10,3.9,3.9,3.9,23968.97,25597.57,31032.38,35780.31,47644.363,55876.814,83302.4288425055,111860.133506695
New Zealand,554,Oceania,Australia/New Zealand,360.517086166262,423.541935743185,508.735590281126,0.1,1,21.837101148,8.3,10.9,13.2,4528.53,4729.67,5394.8,5762,36135.82,43459.24,62969.822937104,88401.8061720599
Antigua and Barbuda,28,Latin America and Caribbean,Caribbean,558,558,558,0.1,28.7136420896,62.7136420896,8.3,10.9,13.2,91.82,96.41,111.05,116,23523.427,27908.637,55650.5695230204,92650.324649196
Bahamas,44,Latin America and Caribbean,Caribbean,314.882438354311,367.885792516588,439.497286233427,0.1,26.9369741784,60.9369741784,8.3,10.9,13.2,388.02,409.63,470.91,499.87,24505.351,27487.365,54055.5814324244,89994.8951419708
Barbados,52,Latin America and Caribbean,Caribbean,328.5,328.5,328.5,18,18,18,16.2,16.2,16.2,284.21,287.65,287.7,275.42,16669.536,20117.143,40339.3027238601,67159.2317117581
Dominica,212,Latin America and Caribbean,Caribbean,339.8,339.8,339.8,34.0496818872,68.0496818872,99.9,8.3,10.9,13.2,72.68,74.32,75.85,71.08,11162.644,13878.988,27688.9795768973,46098.2334770769
Dominican Republic,214,Latin America and Caribbean,Caribbean,375.9,375.9,375.9,66.1,66.1,66.1,12,12,12,10528.39,11106.6,12819.48,13377.24,15022.797,19889.113,40352.1526433271,67180.6250096263
Grenada,308,Latin America and Caribbean,Caribbean,310.3,310.3,310.3,25.8536059992,59.8536059992,93.8536059992,12.8,12.8,12.8,106.83,109.39,112.32,105.04,13571.752,16847.587,33814.4497524067,56296.2746697218
Haiti,332,Latin America and Caribbean,Caribbean,251.9,251.9,251.9,90,99,99.9,8.3,10.9,13.2,10711.07,11378.34,13534.18,14522.8,1757.404,2126.373,4270.50458868242,7109.78593657765
Jamaica,388,Latin America and Caribbean,Caribbean,259.2,259.2,259.2,86.4,86.4,86.4,8.3,10.9,13.2,2793.34,2840.11,2811.08,2558.25,8771.231,10570.919,21211.6405752282,35314.3804723148
Puerto Rico,630,Latin America and Caribbean,Caribbean,362.475930529072,425.937687734609,511.724208452394,0.1,1,19.9127409648,8.3,10.9,13.2,3683.24,3674.98,3536.11,3155.36,37890.876,39420.978,77036.9690030006,128255.653972518
Saint Kitts and Nevis,659,Latin America and Caribbean,Caribbean,318.031628145816,371.716466292015,444.25053695863,0.1,24.5762143224,58.5762143224,8.3,10.9,13.2,55.57,58.47,66.2,67.95,24476.169,29953.187,59729.14356569,99440.5733815617
Saint Lucia,662,Latin America and Caribbean,Caribbean,529.3,529.3,529.3,30,30,30,22,22,22,185,191.76,206.94,203.27,11710.039,13788.699,27442.0344728313,45687.1048173284
Saint Vincent and the Grenadines,670,Latin America and Caribbean,Caribbean,243.332871668302,281.3085314043,332.617782108221,34.7300367624,68.7300367624,99.9,8.3,10.9,13.2,109.46,110.74,111.83,104.28,10937.362,13686.913,27639.5467626366,46015.9348352331
Trinidad and Tobago,780,Latin America and Caribbean,Caribbean,660.7,660.7,660.7,90,99,99.9,8.3,10.9,13.2,1360.09,1377.75,1340.87,1222.99,32573.077,37854.039,74840.5605037458,124598.944575608
Belize,84,Latin America and Caribbean,Central America,403.4,403.4,403.4,90,99,99.9,5,5,5,359.29,397.88,535.07,628.89,8321.001,8617.661,16702.3560555223,27807.0597338717
Costa Rica,188,Latin America and Caribbean,Central America,321.2,321.2,321.2,32.6,32.6,32.6,2.3,2.3,2.3,4807.85,5043.68,5649.93,5745.85,15469.18,19816.515,39958.9912060011,66526.0668421176
El Salvador,222,Latin America and Caribbean,Central America,324.9,324.9,324.9,21.1,21.1,21.1,8,8,8,6126.58,6230.9,6476.34,6183.38,8619.604,10487.67,20927.8148577561,34841.850809223
Guatemala,320,Latin America and Caribbean,Central America,222.7,222.7,222.7,79.4,79.4,79.4,13,13,13,16342.9,18014.92,24729.5,30336.72,7758.807,9115.191,18150.2116078379,30217.5343816053
Honduras,340,Latin America and Caribbean,Central America,222.7,222.7,222.7,88.7,88.7,88.7,8.3,10.9,13.2,8075.06,8650.56,10606.78,11576.38,5091.127,6280.061,12603.1587564525,20982.4761974387
