Country,Country code,Continent,Region,Total municipal plastic waste 2015 (kg y-1),Total municipal plastic waste 2020 (kg y-1),Total municipal plastic waste 2040 (kg y-1),Total municipal plastic waste 2060 (kg y-1),MPW 2015 (kg y-1),MPW Scenario A 2020 (kg y-1),MPW Scenario A 2040 (kg y-1),MPW Scenario A 2060 (kg y-1),MPW Scenario B 2020 (kg y-1),MPW Scenario B 2040 (kg y-1),MPW Scenario B 2060 (kg y-1),MPW Scenario C 2020 (kg y-1),MPW Scenario C 2040 (kg y-1),MPW Scenario C 2060 (kg y-1)
Afghanistan,4,Asia,Southern Asia,296927000,354672000,622539000,867799000,170690245.365522,203885300.778576,357870232.951555,498859397.218691,199273958.485235,302291356.540025,334883063.428004,199273958.485235,182103226.831341,201736785.197593
Albania,8,Europe,Southern Europe,76985600,89992900,113878000,119348000,69287040,80993610,102490200,107413200,69856286.9438792,31450207.1010111,119348,52921429.5029388,11912957.2352315,45207.5757575758
Algeria,12,Africa,Northern Africa,999308000,1172840000,1901000000,2525630000,719501760,844444800,1368720000,1818453600,754507655.163843,217163580.272028,2525630,628756379.303203,90484825.1133449,1052345.83333333
Angola,24,Africa,Middle Africa,170561000,214460000,783957000,1623960000,138154410,173712600,635005170,1315407600,171260772.079218,451449656.805937,447190392.917406,126859831.169791,167203576.594791,165626071.450891
Antigua and Barbuda,28,Latin America and Caribbean,Caribbean,3561940,3842920,4979450,5720870,3205.746,3458.628,4481.505,5148.783,3842.92,4979.45,5720.87,3842.92,2999.6686746988,3446.30722891566
Argentina,32,Latin America and Caribbean,South America,1842340000,2042510000,2984940000,3779660000,552149298,612140247,894586518,1132764102,433554634.153035,2984940,3779660,296955228.871942,1022239.7260274,1294404.10958904
Armenia,51,Asia,Western Asia,17083000,24855100,41473700,48156900,15374.7,22369.59,37326.33,43341.21,24855.1,41473.7,48156.9,24855.1,21160.0510204082,24569.8469387755
Australia,36,Oceania,Australia/New Zealand,518258000,581384000,787240000,965273000,466432.2,523245.6,708516,868745.7,581384,787240,965273,581384,787240,965273
Austria,40,Europe,Western Europe,507951000,537065000,601308000,634515000,457155.9,483358.5,541177.2,571063.5,537065,601308,634515,488240.909090909,273321.818181818,288415.909090909
Azerbaijan,31,Asia,Western Asia,96128500,109063000,171749000,216492000,19033443,21594474,34006302,42865416,13276381.867765,171749,216492,13276381.867765,103463.253012048,130416.86746988
Bahamas,44,Latin America and Caribbean,Caribbean,8384420,9194390,13210200,16589300,7545.978,8274.951,11889.18,14930.37,9194.39,13210.2,16589.3,9194.39,7957.95180722891,9993.55421686747
Bahrain,48,Asia,Western Asia,117824000,129410000,175377000,201136000,106041.6,116469,157839.3,181022.4,129410,175377,201136,107841.666666667,73073.75,83806.6666666667
Bangladesh,50,Asia,Southern Asia,975445000,1312830000,2159480000,2669970000,877900500,1181547000,1943532000,2402973000,1111798815.7763,1444072563.2145,1173232432.83606,1111798815.7763,1093994366.07159,888812449.118231
Barbados,52,Latin America and Caribbean,Caribbean,11902300,13067900,16658200,18465800,1928172.6,2116999.8,2698628.4,2991459.6,706661.204037049,16658.2,18465.8,436210.619775956,5141.41975308642,5699.32098765432
Belarus,112,Europe,Eastern Europe,275734000,279122000,298308000,307936000,37791997.6812986,38256355.6790219,40885981.5775814,42205591.6136145,18794033.6947546,298308,307936,18794033.6947546,179703.614457831,185503.614457831
Belgium,56,Europe,Western Europe,221946000,240947000,288162000,324987000,199751.4,216852.3,259345.8,292488.3,240947,288162,324987,240947,288162,324987
