Country,Country code,Continent,Region,Total municipal plastic waste 2015 (kg y-1),Total municipal plastic waste 2020 (kg y-1),Total municipal plastic waste 2040 (kg y-1),Total municipal plastic waste 2060 (kg y-1),MPW 2015 (kg y-1),MPW Scenario A 2020 (kg y-1),MPW Scenario A 2040 (kg y-1),MPW Scenario A 2060 (kg y-1),MPW Scenario B 2020 (kg y-1),MPW Scenario B 2040 (kg y-1),MPW Scenario B 2060 (kg y-1),MPW Scenario C 2020 (kg y-1),MPW Scenario C 2040 (kg y-1),MPW Scenario C 2060 (kg y-1)
Afghanistan,4,Asia,Southern Asia,607815000,729816000,1305550000,1844790000,606599977.815,728357097.816,1302940205.55,1841102264.79,718868242.233499,1186383649.09479,1492517049.99519,544597153.207196,449387745.869237,565347367.422421
Albania,8,Europe,Southern Europe,84644900,93945000,120990000,134658000,84560255.1,93851055,120869010,134523342,82224628.754071,45392370.606538,13465800,62291385.4197507,17194079.7752038,5100681.81818182
Algeria,12,Africa,Northern Africa,1095260000,1248070000,1995310000,2829610000,875331792,997457544,1594651752,2261424312,901751520.709814,385965776.278053,282961000,751459600.591511,160819073.449189,117900416.666667
Angola,24,Africa,Middle Africa,235394000,285708000,786995000,1821230000,211642745.4,256880062.8,707587204.5,1637467893,253613687.477838,523320374.67877,663784289.921702,187861990.724324,193822360.992137,245846033.304334
Antigua and Barbuda,28,Latin America and Caribbean,Caribbean,5189720,5693870,7888530,9509540,3251407.76382614,3567262.41959426,4942237.28586039,5957815.10108738,2785638.6140891,788853,950954,2110332.28340083,298807.954545455,360209.848484849
Argentina,32,Latin America and Caribbean,South America,1946440000,2115110000,3173020000,4263510000,647516355.48,703627298.37,1055559044.34,1418329081.17,518693948.918225,317302000,426351000,355269828.026182,108665068.493151,146010616.438356
Armenia,51,Asia,Western Asia,22553700,27971200,45621600,57573200,2253114.63,2794322.88,4557597.84,5751562.68,2797120,4562160,5757320,2854204.08163265,2327632.65306122,2937408.16326531
Australia,36,Oceania,Australia/New Zealand,544198000,599411000,797849000,1009660000,54365380.2,59881158.9,79705115.1,100865034,59941100,79784900,100966000,153695128.205128,79784900,100966000
Austria,40,Europe,Western Europe,520097000,541573000,620910000,678797000,51957690.3,54103142.7,62028909,67811820.3,54157300,62091000,67879700,49233909.0909091,28223181.8181818,30854409.0909091
Azerbaijan,31,Asia,Western Asia,119053000,144128000,285123000,395762000,26165468.34,31676451.84,62664332.94,86980572.36,20683998.0945981,28512300,39576200,15669695.5262107,10800113.6363636,14990984.8484849
Bahamas,44,Latin America and Caribbean,Caribbean,18553400,20404800,29852700,38003300,11294574.6866481,12421633.639447,18173140.7584647,23134903.0468319,10516866.6527866,2985270,3800330,7967323.22180801,1130784.09090909,1439518.93939394
Bahrain,48,Asia,Western Asia,127931000,139539000,179623000,204438000,12780306.9,13939946.1,17944337.7,20423356.2,13953900,17962300,20443800,11628250,7484291.66666667,8518250
Bangladesh,50,Asia,Southern Asia,1152160000,1417390000,2267390000,2992670000,1151007840,1415972610,2265122610,2989677330,1340669349.99159,1740705003.73688,1611306897.69758,2031317196.95696,1318715911.92188,1220687043.71029
Barbados,52,Latin America and Caribbean,Caribbean,12866900,13709300,17507300,20613500,2313725.958,2465206.326,3148162.686,3706719.57,1370930,1750730,2061350,846253.086419753,540348.765432099,636219.135802469
Belarus,112,Europe,Eastern Europe,411576000,422941000,490577000,534557000,342207408.695082,351656908.17955,407893278.362701,444460721.154336,322166527.907311,65029330.6040083,53455700,244065551.444932,24632322.198488,20248371.2121212
Belgium,56,Europe,Western Europe,230859000,245841000,297943000,350948000,23062814.1,24559515.9,29764505.7,35059705.2,24584100,29794300,35094800,49168200,29794300,35094800
Belize,84,Latin America and Caribbean,Central America,6321520,7041590,10570600,14193500,6315198.48,7034548.41,10560029.4,14179306.5,6969155.66596942,7786621.726421,5521390.97229423,13938311.3319388,7786621.726421,5521390.97229423
