Entity,Code,Year,Share of plastic inadequately managed (%)
Albania,ALB,2010,0.09
Algeria,DZA,2010,1.63
Angola,A GO,2010,0.20
Anguilla,AIA,2010,0.00
Antigua and Barbuda,ATG,2010,0.00
Argentina,ARG,2010,0.50
Aruba,ABW,2010,0.00
Australia,AUS,2010,0.04
Bahamas,BHS,2010,0.00
Bahrain,BHR,2010,0.01
Bangladesh,BGD,2010,2.47
Barbados,BRB,2010,0.01
Belgium,BEL,2010,0.01
Belize,BLZ,2010,0.01
Benin,BEN,2010,0.14
Bermuda,BMU,2010,0.00
Bosnia and Herzegovina,BIH,2010,0.04
Brazil,BRA,2010,1.48
British Virgin Islands,VGB,2010,0.00
Brunei,BRN,2010,0.00
Bulgaria,BGR,2010,0.06
Cambodia,KHM,2010,0.09
Cameroon,CMR,2010,0.09
Canada,CAN,2010,0.03
Cape Verde,CPV,2010,0.03
Cayman Islands,CYM,2010,0.00
Channel Islands,OWID_CIS,2010,0.00
Chile,CHL,2010,0.07
China,CHN,2010,27.70
Christmas Island,CXR,2010,0
Cocos Islands,CCK,2010,0
Colombia,COL,2010,0.30
Comoros,COM,2010,0.18
Republic of Congo,COG,2010,0.05
Cook Islands,COK,2010,0.00
Costa Rica,CRI,2010,0.13
Ivory Coast,CIV,2010,0.61
Croatia,HRV,2010,0.05
Cuba,CUB,2010,0.30
Curacao,CUW,2010,0.00
Cyprus,CYP,2010,0.01
Democratic Republic of Congo,COD,2010,0.05
Denmark,DNK,2010,0.01
Djibouti,DJI,2010,0.05
Dominica,DMA,2010,0.00
Dominican Republic,DOM,2010,0.37
Ecuador,ECU,2010,0.34
Egypt,EGY,2010,3.04
El Salvador,SLV,2010,0.37
Equatorial Guinea,GNQ,2010,0.01
Eritrea,ERI,2010,0.05
Estonia,EST,2010,0.02
Faeroe Islands,FRO,2010,0.00
Falkland Islands,FLK,2010,0
Fiji,FJI,2010,0.15
Finland,FIN,2010,0.02
France,FRA,2010,0.08
French Guiana,GUF,2010,0.01
French Polynesia,PYF,2010,0.00
Gabon,GAB,2010,0.02
Gambia,GMB,2010,0.06
Georgia,GEO,2010,0.05
Germany,DEU,2010,0.10
Ghana,GHA,2010,0.29
Gibraltar,GIB,2010,0.00
Greece,GRC,2010,0.05
Greenland,GRL,2010,0.00
Grenada,GRD,2010,0.01
Guadeloupe,GLP,2010,0.02
Guam,GUM,2010,0.00
